id;grado;colegio;fecha_nacimiento;ciudad
1;withdrawal primary Fiji;Castilla;2022-05-05;Parafarmacia Rua
2;Cambridgeshire;Práctico Madera;2022-05-05;Navarra Berkshire Inversor
3;sexy Integración;Buckinghamshire Cambridgeshire metrics;2022-05-05;Hecho
4;terciaria Urbanización Granito;Gris COM;2022-05-05;Cambridgeshire Account
5;Opcional leading-edge;Sabroso;2022-05-05;Pelota hibrida Extendido
6;end-to-end back-end Práctico;Representante Navarra Mascotas;2022-05-05;algoritmo Account
7;Andalucía Arquitecto Raton;Prolongación;2022-05-05;Glorieta
8;connecting;engineer;2022-05-05;killer intangible matrix
9;Violeta Librería hardware;sistémica Regional Bermudian;2022-05-05;implementación Arquitecto
10;Auto Administrador Pública;Comoro;2022-05-05;transicional Inversor Uzbekistan
